activity_results_id,workout_activity_id,workout_item_id,distancedone,speeddone,timedone,deleted,wactivity_id,wactivity_repetition_id,wactivity_type,wactivity_time,wactivity_distance,wactivity_speed,wactivity_label,wactivity_comment,wactivity_read_comment,wactivity_pace,wactivity_percentage,wactivity_seq,wactivity_deleted
148389,140266,26111,23.17686191247776,0.46353723824955523,180000,0,140266,136344,TIME,180,0,NULL,REST,"recupera e fai allungamento",1,0,0,1,0
148390,140267,26111,1695.963004924357,10.17577802954614,600000,0,140267,136345,TIME,600,0,NULL,RUNNING,"fai degli allunghi alternati a corsetta di recupero",1,0,0,1,0
148391,140268,26111,148.66421884298325,4.459926565289497,120000,0,140268,136346,TIME,120,0,NULL,REST,,1,0,0,1,0
148392,140269,26111,1000,10.88399176444623,330761,0,140269,136347,DISTANCE,0,1000,NULL,RUNNING,"mantieni il tuo solito passo",1,0,0,1,0
148393,140270,26111,197.61579367518425,5.928473810255528,120000,0,140270,136347,TIME,120,0,NULL,WALKING,,1,0,0,2,0
148394,140269,26111,1000,10.756543564001435,334680,0,140269,136347,DISTANCE,0,1000,NULL,RUNNING,"mantieni il tuo solito passo",1,0,0,1,0
148395,140270,26111,203.55013227462769,6.1065039682388305,120000,0,140270,136347,TIME,120,0,NULL,WALKING,,1,0,0,2,0
148396,140269,26111,1000,11.170445483571688,322279,0,140269,136347,DISTANCE,0,1000,NULL,RUNNING,"mantieni il tuo solito passo",1,0,0,1,0
148397,140270,26111,175.38621270656586,5.261586381196976,120000,0,140270,136347,TIME,120,0,NULL,WALKING,,1,0,0,2,0
148398,140269,26111,1000,10.994145617458702,327447,0,140269,136347,DISTANCE,0,1000,NULL,RUNNING,"mantieni il tuo solito passo",1,0,0,1,0
148399,140270,26111,198.41178452968597,5.9523535358905795,120000,0,140270,136347,TIME,120,0,NULL,WALKING,,1,0,0,2,0
148400,140271,26111,1673.173885449767,10.039043312698603,600000,0,140271,136348,TIME,600,0,NULL,RUNNING,NULL,1,0,0,1,0
148401,140272,26111,106.29511924856342,3.1888535774569027,120000,0,140272,136349,TIME,120,0,NULL,REST,,1,0,0,1,0
148402,140275,26111,4.276488848030567,1.013385982945632,15192,0,140275,136352,EXTRA,0,0,0,UNKNOWN,,1,0,100,1,0
155336,143740,27054,1523.0526114702225,9.138315668821335,600000,0,143740,139795,TIME,600,0,NULL,RUNNING,NULL,1,0,0,1,0
155337,143741,27054,1682.6650632321835,10.0959903793931,600000,0,143741,139796,TIME,600,0,NULL,RUNNING,"fai degli allunghi con recupero in corsa lenta",1,0,0,6,0
155338,143742,27054,228.61712123150937,2.7434054547781126,300000,0,143742,139797,TIME,300,0,NULL,REST,"recupera al passo fai stratching",1,0,0,1,0
